DEATH ar25 L1 baseline=32 budget=160 shortest_observed_loss=82 replays=True fits_budget=True deaths_affordable=1 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH ar25 L2 baseline=50 budget=250 shortest_observed_loss=103 replays=True fits_budget=True deaths_affordable=2 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH ar25 L3 baseline=75 budget=375 shortest_observed_loss=202 replays=True fits_budget=True deaths_affordable=1 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH ar25 L4 baseline=37 budget=185 shortest_observed_loss=None replays=None fits_budget=False deaths_affordable=0 died=0/8 outcomes={'game_over': 0, 'left_play': 0, 'hit_cap': 8}
DEATH ar25 L5 baseline=89 budget=445 shortest_observed_loss=233 replays=True fits_budget=True deaths_affordable=1 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH ar25 L6 baseline=159 budget=795 shortest_observed_loss=544 replays=True fits_budget=True deaths_affordable=1 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH ar25 L7 baseline=233 budget=1165 shortest_observed_loss=531 replays=True fits_budget=True deaths_affordable=2 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH ar25 L8 baseline=73 budget=365 shortest_observed_loss=None replays=None fits_budget=False deaths_affordable=0 died=0/8 outcomes={'game_over': 0, 'left_play': 0, 'hit_cap': 8}
DEATH bp35 L1 baseline=21 budget=105 shortest_observed_loss=28 replays=True fits_budget=True deaths_affordable=3 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH bp35 L2 baseline=48 budget=240 shortest_observed_loss=20 replays=True fits_budget=True deaths_affordable=12 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH bp35 L3 baseline=44 budget=220 shortest_observed_loss=36 replays=True fits_budget=True deaths_affordable=6 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH bp35 L4 baseline=38 budget=190 shortest_observed_loss=64 replays=True fits_budget=True deaths_affordable=2 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH bp35 L5 baseline=33 budget=165 shortest_observed_loss=61 replays=True fits_budget=True deaths_affordable=2 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH bp35 L6 baseline=87 budget=435 shortest_observed_loss=1 replays=True fits_budget=True deaths_affordable=435 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH bp35 L7 baseline=86 budget=430 shortest_observed_loss=100 replays=True fits_budget=True deaths_affordable=4 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH bp35 L8 baseline=131 budget=655 shortest_observed_loss=4 replays=True fits_budget=True deaths_affordable=163 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH bp35 L9 baseline=163 budget=815 shortest_observed_loss=6 replays=True fits_budget=True deaths_affordable=135 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH cd82 L1 baseline=55 budget=275 shortest_observed_loss=100 replays=True fits_budget=True deaths_affordable=2 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH cd82 L2 baseline=8 budget=40 shortest_observed_loss=None replays=None fits_budget=False deaths_affordable=0 died=0/8 outcomes={'game_over': 0, 'left_play': 0, 'hit_cap': 8}
DEATH cd82 L3 baseline=41 budget=205 shortest_observed_loss=100 replays=True fits_budget=True deaths_affordable=2 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH cd82 L4 baseline=21 budget=105 shortest_observed_loss=100 replays=True fits_budget=True deaths_affordable=1 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH cd82 L5 baseline=23 budget=115 shortest_observed_loss=100 replays=True fits_budget=True deaths_affordable=1 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH cd82 L6 baseline=23 budget=115 shortest_observed_loss=100 replays=True fits_budget=True deaths_affordable=1 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH cn04 L1 baseline=29 budget=145 shortest_observed_loss=75 replays=True fits_budget=True deaths_affordable=1 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH cn04 L2 baseline=54 budget=270 shortest_observed_loss=100 replays=True fits_budget=True deaths_affordable=2 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH cn04 L3 baseline=85 budget=425 shortest_observed_loss=125 replays=True fits_budget=True deaths_affordable=3 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH cn04 L4 baseline=300 budget=1500 shortest_observed_loss=125 replays=True fits_budget=True deaths_affordable=12 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH cn04 L5 baseline=208 budget=1040 shortest_observed_loss=150 replays=True fits_budget=True deaths_affordable=6 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH cn04 L6 baseline=113 budget=565 shortest_observed_loss=200 replays=True fits_budget=True deaths_affordable=2 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH dc22 L1 baseline=59 budget=295 shortest_observed_loss=127 replays=True fits_budget=True deaths_affordable=2 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH dc22 L2 baseline=102 budget=510 shortest_observed_loss=173 replays=True fits_budget=True deaths_affordable=2 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH dc22 L3 baseline=67 budget=335 shortest_observed_loss=172 replays=True fits_budget=True deaths_affordable=1 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH dc22 L4 baseline=98 budget=490 shortest_observed_loss=190 replays=True fits_budget=True deaths_affordable=2 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH dc22 L5 baseline=324 budget=1620 shortest_observed_loss=489 replays=True fits_budget=True deaths_affordable=3 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH dc22 L6 baseline=578 budget=2890 shortest_observed_loss=1015 replays=True fits_budget=True deaths_affordable=2 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH ft09 L1 baseline=43 budget=215 shortest_observed_loss=None replays=None fits_budget=False deaths_affordable=0 died=0/8 outcomes={'game_over': 0, 'left_play': 0, 'hit_cap': 8}
DEATH ft09 L2 baseline=12 budget=60 shortest_observed_loss=None replays=None fits_budget=False deaths_affordable=0 died=0/8 outcomes={'game_over': 0, 'left_play': 0, 'hit_cap': 8}
DEATH ft09 L3 baseline=23 budget=115 shortest_observed_loss=None replays=None fits_budget=False deaths_affordable=0 died=0/8 outcomes={'game_over': 0, 'left_play': 0, 'hit_cap': 8}
DEATH ft09 L4 baseline=28 budget=140 shortest_observed_loss=None replays=None fits_budget=False deaths_affordable=0 died=0/8 outcomes={'game_over': 0, 'left_play': 0, 'hit_cap': 8}
DEATH ft09 L5 baseline=65 budget=325 shortest_observed_loss=None replays=None fits_budget=False deaths_affordable=0 died=0/8 outcomes={'game_over': 0, 'left_play': 0, 'hit_cap': 8}
DEATH ft09 L6 baseline=37 budget=185 shortest_observed_loss=None replays=None fits_budget=False deaths_affordable=0 died=0/8 outcomes={'game_over': 0, 'left_play': 0, 'hit_cap': 8}
DEATH g50t L1 baseline=78 budget=390 shortest_observed_loss=130 replays=True fits_budget=True deaths_affordable=3 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH g50t L2 baseline=175 budget=875 shortest_observed_loss=130 replays=True fits_budget=True deaths_affordable=6 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH g50t L3 baseline=179 budget=895 shortest_observed_loss=130 replays=True fits_budget=True deaths_affordable=6 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH g50t L4 baseline=230 budget=1150 shortest_observed_loss=130 replays=True fits_budget=True deaths_affordable=8 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH g50t L5 baseline=96 budget=480 shortest_observed_loss=130 replays=True fits_budget=True deaths_affordable=3 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH g50t L6 baseline=54 budget=270 shortest_observed_loss=130 replays=True fits_budget=True deaths_affordable=2 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH g50t L7 baseline=67 budget=335 shortest_observed_loss=130 replays=True fits_budget=True deaths_affordable=2 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH ka59 L1 baseline=28 budget=140 shortest_observed_loss=100 replays=True fits_budget=True deaths_affordable=1 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH ka59 L2 baseline=109 budget=545 shortest_observed_loss=127 replays=True fits_budget=True deaths_affordable=4 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH ka59 L3 baseline=51 budget=255 shortest_observed_loss=100 replays=True fits_budget=True deaths_affordable=2 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH ka59 L4 baseline=51 budget=255 shortest_observed_loss=127 replays=True fits_budget=True deaths_affordable=2 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH ka59 L5 baseline=33 budget=165 shortest_observed_loss=100 replays=True fits_budget=True deaths_affordable=1 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH ka59 L6 baseline=132 budget=660 shortest_observed_loss=150 replays=True fits_budget=True deaths_affordable=4 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH ka59 L7 baseline=326 budget=1630 shortest_observed_loss=200 replays=True fits_budget=True deaths_affordable=8 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH lf52 L1 baseline=32 budget=160 shortest_observed_loss=80 replays=True fits_budget=True deaths_affordable=2 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
DEATH lf52 L2 baseline=81 budget=405 shortest_observed_loss=None replays=None fits_budget=False deaths_affordable=0 died=0/8 outcomes={'game_over': 0, 'left_play': 0, 'hit_cap': 8}
DEATH lf52 L3 baseline=60 budget=300 shortest_observed_loss=None replays=None fits_budget=False deaths_affordable=0 died=0/8 outcomes={'game_over': 0, 'left_play': 0, 'hit_cap': 8}
DEATH lf52 L4 baseline=71 budget=355 shortest_observed_loss=None replays=None fits_budget=False deaths_affordable=0 died=0/8 outcomes={'game_over': 0, 'left_play': 0, 'hit_cap': 8}
DEATH lf52 L5 baseline=205 budget=1025 shortest_observed_loss=464 replays=True fits_budget=True deaths_affordable=2 died=8/8 outcomes={'game_over': 8, 'left_play': 0, 'hit_cap': 0}
